sent_index	word_index	word	region	plausibility	comma	length
3	7	the	Ext	implausible	nocomma	long
3	8	trial	Ext	implausible	nocomma	long
3	9	caught	VP2	implausible	nocomma	long
3	10	the	Rest	implausible	nocomma	long
3	11	old	Rest	implausible	nocomma	long
3	12	man's	Rest	implausible	nocomma	long
3	13	attention.	Rest	implausible	nocomma	long
3	14	<eos>	End	implausible	nocomma	long
3	0	After	Start	plausible	comma	long
3	1	the	the1	plausible	comma	long
3	2	judge	NP1	plausible	comma	long
3	3	decided,	VP1	plausible	comma	long
3	4	the	the2	plausible	comma	long
3	5	verdict	NP2	plausible	comma	long
3	6	of	Ext	plausible	comma	long
3	7	the	Ext	plausible	comma	long
3	8	trial	Ext	plausible	comma	long
3	9	caught	VP2	plausible	comma	long
3	10	the	Rest	plausible	comma	long
3	11	old	Rest	plausible	comma	long
3	12	man's	Rest	plausible	comma	long
3	13	attention.	Rest	plausible	comma	long
3	14	<eos>	End	plausible	comma	long
3	0	After	Start	implausible	comma	long
3	1	the	the1	implausible	comma	long
3	2	judge	NP1	implausible	comma	long
3	3	packed,	VP1	implausible	comma	long
3	4	the	the2	implausible	comma	long
3	5	verdict	NP2	implausible	comma	long
3	6	of	Ext	implausible	comma	long
3	7	the	Ext	implausible	comma	long
3	8	trial	Ext	implausible	comma	long
3	9	caught	VP2	implausible	comma	long
3	10	the	Rest	implausible	comma	long
3	11	old	Rest	implausible	comma	long
3	12	man's	Rest	implausible	comma	long
3	13	attention.	Rest	implausible	comma	long
3	14	<eos>	End	implausible	comma	long
4	0	After	Start	plausible	nocomma	long
4	1	the	the1	plausible	nocomma	long
4	2	judge	NP1	plausible	nocomma	long
4	3	packed	VP1	plausible	nocomma	long
4	4	the	the2	plausible	nocomma	long
4	5	suitcases	NP2	plausible	nocomma	long
4	6	that	Ext	plausible	nocomma	long
4	7	had	Ext	plausible	nocomma	long
4	8	tags	Ext	plausible	nocomma	long
4	9	burst	VP2	plausible	nocomma	long
4	10	their	Rest	plausible	nocomma	long
4	11	locks.	Rest	plausible	nocomma	long
4	12	<eos>	End	plausible	nocomma	long
4	0	After	Start	implausible	nocomma	long
4	1	the	the1	implausible	nocomma	long
4	2	judge	NP1	implausible	nocomma	long
4	3	decided	VP1	implausible	nocomma	long
4	4	the	the2	implausible	nocomma	long
4	5	suitcases	NP2	implausible	nocomma	long
4	6	that	Ext	implausible	nocomma	long
4	7	had	Ext	implausible	nocomma	long
4	8	tags	Ext	implausible	nocomma	long
4	9	burst	VP2	implausible	nocomma	long
4	10	their	Rest	implausible	nocomma	long
4	11	locks.	Rest	implausible	nocomma	long
4	12	<eos>	End	implausible	nocomma	long
4	0	After	Start	plausible	comma	long
4	1	the	the1	plausible	comma	long
4	2	judge	NP1	plausible	comma	long
4	3	packed,	VP1	plausible	comma	long
4	4	the	the2	plausible	comma	long
4	5	suitcases	NP2	plausible	comma	long
4	6	that	Ext	plausible	comma	long
4	7	had	Ext	plausible	comma	long
4	8	tags	Ext	plausible	comma	long
4	9	burst	VP2	plausible	comma	long
4	10	their	Rest	plausible	comma	long
4	11	locks.	Rest	plausible	comma	long
4	12	<eos>	End	plausible	comma	long
4	0	After	Start	implausible	comma	long
4	1	the	the1	implausible	comma	long
4	2	judge	NP1	implausible	comma	long
4	3	decided,	VP1	implausible	comma	long
4	4	the	the2	implausible	comma	long
4	5	suitcases	NP2	implausible	comma	long
4	6	that	Ext	implausible	comma	long
4	7	had	Ext	implausible	comma	long
4	8	tags	Ext	implausible	comma	long
4	9	burst	VP2	implausible	comma	long
4	10	their	Rest	implausible	comma	long
4	11	locks.	Rest	implausible	comma	long
4	12	<eos>	End	implausible	comma	long
5	0	While	Start	plausible	nocomma	long
5	1	the	the1	plausible	nocomma	long
5	2	motorist	NP1	plausible	nocomma	long
5	3	parks	VP1	plausible	nocomma	long
5	4	the	the2	plausible	nocomma	long
5	5	truck	NP2	plausible	nocomma	long
5	6	that	Ext	plausible	nocomma	long
5	7	was	Ext	plausible	nocomma	long
5	8	noisy	Ext	plausible	nocomma	long
5	9	rushes	VP2	plausible	nocomma	long
5	10	along	Rest	plausible	nocomma	long
5	11	the	Rest	plausible	nocomma	long
5	12	high	Rest	plausible	nocomma	long
5	13	street.	Rest	plausible	nocomma	long
5	14	<eos>	End	plausible	nocomma	long
5	0	While	Start	implausible	nocomma	long
5	1	the	the1	implausible	nocomma	long
5	2	motorist	NP1	implausible	nocomma	long
5	3	writes	VP1	implausible	nocomma	long
5	4	the	the2	implausible	nocomma	long
5	5	truck	NP2	implausible	nocomma	long
5	6	that	Ext	implausible	nocomma	long
5	7	was	Ext	implausible	nocomma	long
5	8	noisy	Ext	implausible	nocomma	long
5	9	rushes	VP2	implausible	nocomma	long
5	10	along	Rest	implausible	nocomma	long
5	11	the	Rest	implausible	nocomma	long
5	12	high	Rest	implausible	nocomma	long
5	13	street.	Rest	implausible	nocomma	long
5	14	<eos>	End	implausible	nocomma	long
5	0	While	Start	plausible	comma	long
5	1	the	the1	plausible	comma	long
5	2	motorist	NP1	plausible	comma	long
5	3	parks,	VP1	plausible	comma	long
5	4	the	the2	plausible	comma	long
5	5	truck	NP2	plausible	comma	long
5	6	that	Ext	plausible	comma	long
5	7	was	Ext	plausible	comma	long
5	8	noisy	Ext	plausible	comma	long
5	9	rushes	VP2	plausible	comma	long
5	10	along	Rest	plausible	comma	long
5	11	the	Rest	plausible	comma	long
5	12	high	Rest	plausible	comma	long
5	13	street.	Rest	plausible	comma	long
5	14	<eos>	End	plausible	comma	long
5	0	While	Start	implausible	comma	long
5	1	the	the1	implausible	comma	long
5	2	motorist	NP1	implausible	comma	long
5	3	writes,	VP1	implausible	comma	long
5	4	the	the2	implausible	comma	long
5	5	truck	NP2	implausible	comma	long
5	6	that	Ext	implausible	comma	long
5	7	was	Ext	implausible	comma	long
5	8	noisy	Ext	implausible	comma	long
5	9	rushes	VP2	implausible	comma	long
5	10	along	Rest	implausible	comma	long
5	11	the	Rest	implausible	comma	long
5	12	high	Rest	implausible	comma	long
5	13	street.	Rest	implausible	comma	long
5	14	<eos>	End	implausible	comma	long
6	0	As	Start	plausible	nocomma	long
6	1	the	the1	plausible	nocomma	long
6	2	motorist	NP1	plausible	nocomma	long
6	3	writes	VP1	plausible	nocomma	long
6	4	the	the2	plausible	nocomma	long
6	5	story	NP2	plausible	nocomma	long
6	6	about	Ext	plausible	nocomma	long
6	7	animals	Ext	plausible	nocomma	long
6	8	remains	VP2	plausible	nocomma	long
6	9	on	Rest	plausible	nocomma	long
6	10	the	Rest	plausible	nocomma	long
6	11	back	Rest	plausible	nocomma	long
6	12	seat.	Rest	plausible	nocomma	long
6	13	<eos>	End	plausible	nocomma	long
6	0	As	Start	implausible	nocomma	long
6	1	the	the1	implausible	nocomma	long
6	2	motorist	NP1	implausible	nocomma	long
6	3	parks	VP1	implausible	nocomma	long
6	4	the	the2	implausible	nocomma	long
6	5	story	NP2	implausible	nocomma	long
6	6	about	Ext	implausible	nocomma	long
6	7	animals	Ext	implausible	nocomma	long
6	8	remains	VP2	implausible	nocomma	long
6	9	on	Rest	implausible	nocomma	long
6	10	the	Rest	implausible	nocomma	long
6	11	back	Rest	implausible	nocomma	long
6	12	seat.	Rest	implausible	nocomma	long
6	13	<eos>	End	implausible	nocomma	long
6	0	As	Start	plausible	comma	long
6	1	the	the1	plausible	comma	long
6	2	motorist	NP1	plausible	comma	long
6	3	writes,	VP1	plausible	comma	long
6	4	the	the2	plausible	comma	long
6	5	story	NP2	plausible	comma	long
6	6	about	Ext	plausible	comma	long
6	7	animals	Ext	plausible	comma	long
6	8	remains	VP2	plausible	comma	long
6	9	on	Rest	plausible	comma	long
6	10	the	Rest	plausible	comma	long
6	11	back	Rest	plausible	comma	long
6	12	seat.	Rest	plausible	comma	long
6	13	<eos>	End	plausible	comma	long
6	0	As	Start	implausible	comma	long
6	1	the	the1	implausible	comma	long
6	2	motorist	NP1	implausible	comma	long
6	3	parks,	VP1	implausible	comma	long
6	4	the	the2	implausible	comma	long
6	5	story	NP2	implausible	comma	long
6	6	about	Ext	implausible	comma	long
6	7	animals	Ext	implausible	comma	long
6	8	remains	VP2	implausible	comma	long
6	9	on	Rest	implausible	comma	long
6	10	the	Rest	implausible	comma	long
6	11	back	Rest	implausible	comma	long
6	12	seat.	Rest	implausible	comma	long
6	13	<eos>	End	implausible	comma	long
7	0	As	Start	plausible	nocomma	long
7	1	the	the1	plausible	nocomma	long
7	2	zoologists	NP1	plausible	nocomma	long
7	3	were	VP1	plausible	nocomma	long
7	4	breeding	VP1	plausible	nocomma	long
7	5	the	the2	plausible	nocomma	long
7	6	tigers	NP2	plausible	nocomma	long
7	7	from	Ext	plausible	nocomma	long
7	8	India	Ext	plausible	nocomma	long
7	9	chewed	VP2	plausible	nocomma	long
7	10	on	Rest	plausible	nocomma	long
7	11	a	Rest	plausible	nocomma	long
7	12	piece	Rest	plausible	nocomma	long
7	13	of	Rest	plausible	nocomma	long
7	14	meat.	Rest	plausible	nocomma	long
7	15	<eos>	End	plausible	nocomma	long
7	0	As	Start	implausible	nocomma	long
7	1	the	the1	implausible	nocomma	long
7	2	zoologists	NP1	implausible	nocomma	long
7	3	were	VP1	implausible	nocomma	long
7	4	typing	VP1	implausible	nocomma	long
7	5	the	the2	implausible	nocomma	long
7	6	tigers	NP2	implausible	nocomma	long
7	7	from	Ext	implausible	nocomma	long
7	8	India	Ext	implausible	nocomma	long
7	9	chewed	VP2	implausible	nocomma	long
7	10	on	Rest	implausible	nocomma	long
7	11	a	Rest	implausible	nocomma	long
7	12	piece	Rest	implausible	nocomma	long
7	13	of	Rest	implausible	nocomma	long
7	14	meat.	Rest	implausible	nocomma	long
7	15	<eos>	End	implausible	nocomma	long
7	0	As	Start	plausible	comma	long
7	1	the	the1	plausible	comma	long
7	2	zoologists	NP1	plausible	comma	long
7	3	were	VP1	plausible	comma	long
7	4	breeding,	VP1	plausible	comma	long
7	5	the	the2	plausible	comma	long
7	6	tigers	NP2	plausible	comma	long
7	7	from	Ext	plausible	comma	long
7	8	India	Ext	plausible	comma	long
7	9	chewed	VP2	plausible	comma	long
7	10	on	Rest	plausible	comma	long
7	11	a	Rest	plausible	comma	long
7	12	piece	Rest	plausible	comma	long
7	13	of	Rest	plausible	comma	long
7	14	meat.	Rest	plausible	comma	long
7	15	<eos>	End	plausible	comma	long
7	0	As	Start	implausible	comma	long
7	1	the	the1	implausible	comma	long
7	2	zoologists	NP1	implausible	comma	long
7	3	were	VP1	implausible	comma	long
7	4	typing,	VP1	implausible	comma	long
7	5	the	the2	implausible	comma	long
7	6	tigers	NP2	implausible	comma	long
7	7	from	Ext	implausible	comma	long
7	8	India	Ext	implausible	comma	long
7	9	chewed	VP2	implausible	comma	long
7	10	on	Rest	implausible	comma	long
7	11	a	Rest	implausible	comma	long
7	12	piece	Rest	implausible	comma	long
7	13	of	Rest	implausible	comma	long
7	14	meat.	Rest	implausible	comma	long
7	15	<eos>	End	implausible	comma	long
8	0	As	Start	plausible	nocomma	long
8	1	the	the1	plausible	nocomma	long
8	2	zoologists	NP1	plausible	nocomma	long
8	3	were	VP1	plausible	nocomma	long
8	4	typing	VP1	plausible	nocomma	long
8	5	the	the2	plausible	nocomma	long
8	6	reports	NP2	plausible	nocomma	long
8	7	about	Ext	plausible	nocomma	long
8	8	apes	Ext	plausible	nocomma	long
8	9	fell	VP2	plausible	nocomma	long
8	10	of	Rest	plausible	nocomma	long
8	11	the	Rest	plausible	nocomma	long
8	12	table.	Rest	plausible	nocomma	long
8	13	<eos>	End	plausible	nocomma	long
8	0	As	Start	implausible	nocomma	long
8	1	the	the1	implausible	nocomma	long
8	2	zoologists	NP1	implausible	nocomma	long
8	3	were	VP1	implausible	nocomma	long
8	4	breeding	VP1	implausible	nocomma	long
8	5	the	the2	implausible	nocomma	long
8	6	reports	NP2	implausible	nocomma	long
8	7	about	Ext	implausible	nocomma	long
8	8	apes	Ext	implausible	nocomma	long
8	9	fell	VP2	implausible	nocomma	long
8	10	of	Rest	implausible	nocomma	long
8	11	the	Rest	implausible	nocomma	long
8	12	table.	Rest	implausible	nocomma	long
8	13	<eos>	End	implausible	nocomma	long
8	0	As	Start	plausible	comma	long
8	1	the	the1	plausible	comma	long
8	2	zoologists	NP1	plausible	comma	long
8	3	were	VP1	plausible	comma	long
8	4	typing,	VP1	plausible	comma	long
8	5	the	the2	plausible	comma	long
8	6	reports	NP2	plausible	comma	long
8	7	about	Ext	plausible	comma	long
8	8	apes	Ext	plausible	comma	long
8	9	fell	VP2	plausible	comma	long
8	10	of	Rest	plausible	comma	long
8	11	the	Rest	plausible	comma	long
8	12	table.	Rest	plausible	comma	long
8	13	<eos>	End	plausible	comma	long
8	0	As	Start	implausible	comma	long
8	1	the	the1	implausible	comma	long
8	2	zoologists	NP1	implausible	comma	long
8	3	were	VP1	implausible	comma	long
8	4	breeding,	VP1	implausible	comma	long
8	5	the	the2	implausible	comma	long
8	6	reports	NP2	implausible	comma	long
8	7	about	Ext	implausible	comma	long
8	8	apes	Ext	implausible	comma	long
8	9	fell	VP2	implausible	comma	long
8	10	of	Rest	implausible	comma	long
8	11	the	Rest	implausible	comma	long
8	12	table.	Rest	implausible	comma	long
8	13	<eos>	End	implausible	comma	long
9	0	Whilst	Start	plausible	nocomma	long
9	1	the	the1	plausible	nocomma	long
9	2	man	NP1	plausible	nocomma	long
9	3	reads	VP1	plausible	nocomma	long
9	4	the	the2	plausible	nocomma	long
9	5	books	NP2	plausible	nocomma	long
9	6	about	Ext	plausible	nocomma	long
9	7	gardening	Ext	plausible	nocomma	long
9	8	seemed	VP2	plausible	nocomma	long
9	9	somewhat	Rest	plausible	nocomma	long
9	10	confusing.	Rest	plausible	nocomma	long
9	11	<eos>	End	plausible	nocomma	long
9	0	Whilst	Start	implausible	nocomma	long
9	1	the	the1	implausible	nocomma	long
9	2	man	NP1	implausible	nocomma	long
9	3	eats	VP1	implausible	nocomma	long
9	4	the	the2	implausible	nocomma	long
9	5	books	NP2	implausible	nocomma	long
9	6	about	Ext	implausible	nocomma	long
9	7	gardening	Ext	implausible	nocomma	long
9	8	seemed	VP2	implausible	nocomma	long
9	9	somewhat	Rest	implausible	nocomma	long
9	10	confusing.	Rest	implausible	nocomma	long
9	11	<eos>	End	implausible	nocomma	long
9	0	Whilst	Start	plausible	comma	long
9	1	the	the1	plausible	comma	long
9	2	man	NP1	plausible	comma	long
9	3	reads,	VP1	plausible	comma	long
9	4	the	the2	plausible	comma	long
9	5	books	NP2	plausible	comma	long
9	6	about	Ext	plausible	comma	long
9	7	gardening	Ext	plausible	comma	long
9	8	seemed	VP2	plausible	comma	long
9	9	somewhat	Rest	plausible	comma	long
9	10	confusing.	Rest	plausible	comma	long
9	11	<eos>	End	plausible	comma	long
9	0	Whilst	Start	implausible	comma	long
9	1	the	the1	implausible	comma	long
9	2	man	NP1	implausible	comma	long
9	3	eats,	VP1	implausible	comma	long
9	4	the	the2	implausible	comma	long
9	5	books	NP2	implausible	comma	long
9	6	about	Ext	implausible	comma	long
9	7	gardening	Ext	implausible	comma	long
9	8	seemed	VP2	implausible	comma	long
9	9	somewhat	Rest	implausible	comma	long
9	10	confusing.	Rest	implausible	comma	long
9	11	<eos>	End	implausible	comma	long
10	0	Before	Start	plausible	nocomma	long
10	1	the	the1	plausible	nocomma	long
10	2	man	NP1	plausible	nocomma	long
10	3	eats	VP1	plausible	nocomma	long
10	4	the	the2	plausible	nocomma	long
10	5	sandwich	NP2	plausible	nocomma	long
10	6	from	Ext	plausible	nocomma	long
10	7	the	Ext	plausible	nocomma	long
10	8	bakery	Ext	plausible	nocomma	long
10	9	looked	VP2	plausible	nocomma	long
10	10	really	Rest	plausible	nocomma	long
10	11	appetising.	Rest	plausible	nocomma	long
10	12	<eos>	End	plausible	nocomma	long
10	0	Before	Start	implausible	nocomma	long
10	1	the	the1	implausible	nocomma	long
10	2	man	NP1	implausible	nocomma	long
10	3	reads	VP1	implausible	nocomma	long
10	4	the	the2	implausible	nocomma	long
10	5	sandwich	NP2	implausible	nocomma	long
10	6	from	Ext	implausible	nocomma	long
10	7	the	Ext	implausible	nocomma	long
10	8	bakery	Ext	implausible	nocomma	long
10	9	looked	VP2	implausible	nocomma	long
10	10	really	Rest	implausible	nocomma	long
10	11	appetising.	Rest	implausible	nocomma	long
10	12	<eos>	End	implausible	nocomma	long
10	0	Before	Start	plausible	comma	long
10	1	the	the1	plausible	comma	long
10	2	man	NP1	plausible	comma	long
10	3	eats,	VP1	plausible	comma	long
10	4	the	the2	plausible	comma	long
10	5	sandwich	NP2	plausible	comma	long
10	6	from	Ext	plausible	comma	long
10	7	the	Ext	plausible	comma	long
10	8	bakery	Ext	plausible	comma	long
10	9	looked	VP2	plausible	comma	long
10	10	really	Rest	plausible	comma	long
10	11	appetising.	Rest	plausible	comma	long
10	12	<eos>	End	plausible	comma	long
10	0	Before	Start	implausible	comma	long
10	1	the	the1	implausible	comma	long
10	2	man	NP1	implausible	comma	long
10	3	reads,	VP1	implausible	comma	long
10	4	the	the2	implausible	comma	long
10	5	sandwich	NP2	implausible	comma	long
10	6	from	Ext	implausible	comma	long
10	7	the	Ext	implausible	comma	long
10	8	bakery	Ext	implausible	comma	long
10	9	looked	VP2	implausible	comma	long
10	10	really	Rest	implausible	comma	long
10	11	appetising.	Rest	implausible	comma	long
10	12	<eos>	End	implausible	comma	long
11	0	When	Start	plausible	nocomma	long
11	1	the	the1	plausible	nocomma	long
11	2	cleaners	NP1	plausible	nocomma	long
11	3	were	VP1	plausible	nocomma	long
11	4	rubbing	VP1	plausible	nocomma	long
11	5	the	the2	plausible	nocomma	long
11	6	paint	NP2	plausible	nocomma	long
11	7	that	Ext	plausible	nocomma	long
11	8	dried	Ext	plausible	nocomma	long
11	9	stained	VP2	plausible	nocomma	long
11	10	the	Rest	plausible	nocomma	long
11	11	new	Rest	plausible	nocomma	long
11	12	carpet.	Rest	plausible	nocomma	long
11	13	<eos>	End	plausible	nocomma	long
11	0	When	Start	implausible	nocomma	long
11	1	the	the1	implausible	nocomma	long
11	2	cleaners	NP1	implausible	nocomma	long
11	3	were	VP1	implausible	nocomma	long
11	4	running	VP1	implausible	nocomma	long
11	5	the	the2	implausible	nocomma	long
11	6	paint	NP2	implausible	nocomma	long
11	7	that	Ext	implausible	nocomma	long
11	8	dried	Ext	implausible	nocomma	long
11	9	stained	VP2	implausible	nocomma	long
11	10	the	Rest	implausible	nocomma	long
11	11	new	Rest	implausible	nocomma	long
11	12	carpet.	Rest	implausible	nocomma	long
11	13	<eos>	End	implausible	nocomma	long
11	0	When	Start	plausible	comma	long
11	1	the	the1	plausible	comma	long
11	2	cleaners	NP1	plausible	comma	long
11	3	were	VP1	plausible	comma	long
11	4	rubbing,	VP1	plausible	comma	long
11	5	the	the2	plausible	comma	long
11	6	paint	NP2	plausible	comma	long
11	7	that	Ext	plausible	comma	long
11	8	dried	Ext	plausible	comma	long
11	9	stained	VP2	plausible	comma	long
11	10	the	Rest	plausible	comma	long
11	11	new	Rest	plausible	comma	long
11	12	carpet.	Rest	plausible	comma	long
11	13	<eos>	End	plausible	comma	long
11	0	When	Start	implausible	comma	long
11	1	the	the1	implausible	comma	long
11	2	cleaners	NP1	implausible	comma	long
11	3	were	VP1	implausible	comma	long
11	4	running,	VP1	implausible	comma	long
11	5	the	the2	implausible	comma	long
11	6	paint	NP2	implausible	comma	long
11	7	that	Ext	implausible	comma	long
11	8	dried	Ext	implausible	comma	long
11	9	stained	VP2	implausible	comma	long
11	10	the	Rest	implausible	comma	long
11	11	new	Rest	implausible	comma	long
11	12	carpet.	Rest	implausible	comma	long
11	13	<eos>	End	implausible	comma	long
12	0	As	Start	plausible	nocomma	long
12	1	the	the1	plausible	nocomma	long
12	2	cleaners	NP1	plausible	nocomma	long
12	3	were	VP1	plausible	nocomma	long
12	4	running	VP1	plausible	nocomma	long
12	5	the	the2	plausible	nocomma	long
12	6	errands	NP2	plausible	nocomma	long
12	7	that	Ext	plausible	nocomma	long
12	8	I	Ext	plausible	nocomma	long
12	9	set	Ext	plausible	nocomma	long
12	10	remained	VP2	plausible	nocomma	long
12	11	at	Rest	plausible	nocomma	long
12	12	the	Rest	plausible	nocomma	long
12	13	end	Rest	plausible	nocomma	long
12	14	of	Rest	plausible	nocomma	long
12	15	the	Rest	plausible	nocomma	long
12	16	list.	Rest	plausible	nocomma	long
12	17	<eos>	End	plausible	nocomma	long
12	0	As	Start	implausible	nocomma	long
12	1	the	the1	implausible	nocomma	long
12	2	cleaners	NP1	implausible	nocomma	long
12	3	were	VP1	implausible	nocomma	long
12	4	rubbing	VP1	implausible	nocomma	long
12	5	the	the2	implausible	nocomma	long
12	6	errands	NP2	implausible	nocomma	long
12	7	that	Ext	implausible	nocomma	long
12	8	I	Ext	implausible	nocomma	long
12	9	set	Ext	implausible	nocomma	long
12	10	remained	VP2	implausible	nocomma	long
12	11	at	Rest	implausible	nocomma	long
12	12	the	Rest	implausible	nocomma	long
12	13	end	Rest	implausible	nocomma	long
12	14	of	Rest	implausible	nocomma	long
12	15	the	Rest	implausible	nocomma	long
12	16	list.	Rest	implausible	nocomma	long
12	17	<eos>	End	implausible	nocomma	long
12	0	As	Start	plausible	comma	long
12	1	the	the1	plausible	comma	long
12	2	cleaners	NP1	plausible	comma	long
12	3	were	VP1	plausible	comma	long
12	4	running,	VP1	plausible	comma	long
12	5	the	the2	plausible	comma	long
12	6	errands	NP2	plausible	comma	long
12	7	that	Ext	plausible	comma	long
12	8	I	Ext	plausible	comma	long
12	9	set	Ext	plausible	comma	long
12	10	remained	VP2	plausible	comma	long
12	11	at	Rest	plausible	comma	long
12	12	the	Rest	plausible	comma	long
12	13	end	Rest	plausible	comma	long
12	14	of	Rest	plausible	comma	long
12	15	the	Rest	plausible	comma	long
12	16	list.	Rest	plausible	comma	long
12	17	<eos>	End	plausible	comma	long
12	0	As	Start	implausible	comma	long
12	1	the	the1	implausible	comma	long
12	2	cleaners	NP1	implausible	comma	long
12	3	were	VP1	implausible	comma	long
12	4	rubbing,	VP1	implausible	comma	long
12	5	the	the2	implausible	comma	long
